~,1
|,64
||,41
_,4
!,20
!!,6
!!!,11
!!!!,2
!!!!!,2
?,39
?!,1
??,1
???,4
????,1
?),2
/,7
//,1
',109
'(,1
(,8
))))),1
[,1
$!,1
$$,3
$$$,1
$$$$,2
\_,1
\\,1
%,2
+,10
-0,1
[0,1
0),1
0%,4
000,54
000!,3
000-mile,1
_00111111_,1
00musiciskey00,1
01,1
02july1776,1
034davidhv1,1
039,2
0500,1
0713pm,1
083064,1
0calamity,1
0h0ur,1
1,1
(1),21
$1,174
1/,1
1),40
1],1
1%,5
10,26
$10,3
10/,1
10%,2
10+,1
100,6
$100,1
100%,59
1000,1
100k,3
$100m,1
101,1
10/10,1
104th,2
105,19
105th,4
($107b),1
-108,2
10thamendment,2
10tv,5
10x,1
11,31
11/,1
11/08/16,1
112,1
$117,1
11-month,1
11th,2
11thhour,3
12,99
$12,3
12-,5
12),1
12%,2
1200,1
1/20/17,1
12/20/17,3
1229am,1
12/4/17,1
12am,2
12osst,1
12-year-old,2
13,94
1/3,1
$130,4
$130k,3
138,1
13818,3
139th,1
13-to-1,1
14,20
14+,2
140th,21
145,1
14th,1
15,92
1/5,1
150,1
$150,2
$150k,1
[1522540502],1
15-34,10
$158,1
15m,1
15-minu,27
15-minute,6
16,16
-16,7
(16-cv-04642),1
17,115
170,1
17-1,6
1712moro,1
1776,1
1776stonewall,34
18,52
18%,2
1820-1950,1
185,1
19,21
(19),1
19),1
19%,1
193,1
1950s,1
1960doe,1
1960s,2
1963,26
1968,19
1970s,2
1980,19
1980s,6
1984,1
1984mikae,1
1986,1
1987,1
1988,19
1990,20
1993,1
1994,2
19th,1
1anoneeemis,1
1jeffwest,1
1johnlab,1
1k,1
$1m,1
(1s,1
1sevenwest,1
1shehawk,2
1st,6
1stgenpatriot,1
1sts,1
1stsu,1
1stworldplagues,1
$1t,1
1trajan,2
1u,1
1warmachine2018,8
1x,1
2,215
(2,1
(2),9
$2,19
2/,30
2),13
2%,2
20,50
20%,9
200,12
$200,75
2001,3
2002,2
2004,1
20/05/2017,1
2006,2
2009,3
$200m,6
$200mn,3
201,1
2011,3
2011!,1
2012,27
(2012),1
2013,1
2014,4
2015,2
2015/16,1
2016,89
2016?,2
2017,27
2017!,2
2018,95
